id,x,y,deg
001_0,s0,s0,s45
002_0,s0.4920000000,s0.7720000000,s225.2000000000
002_1,s0.1296342888,s0.2558196906,s270.0000000000
003_0,s0.0000000000,s0.0000000000,s0.0000000000
003_1,s-0.3524209065,s0.8041733643,s180.0000000000
003_2,s0.2632811772,s0.8995814222,s181.0000000000
004_0,s0.0000000000,s0.0000000000,s0.0000000000
004_1,s-0.4414973399,s0.4802732951,s180.0000000000
004_2,s0.4384785676,s0.4945056101,s180.0000000000
004_3,s0.2944188181,s-0.4813712713,s80.0000000000
005_0,s0.0000000000,s0.0000000000,s0.0000000000
005_1,s0.8068912760,s0.9450676889,s106.0000000000
005_2,s-0.4444274434,s0.4846182390,s180.0000000000
005_3,s0.3248132036,s-0.3876247735,s93.0000000000
005_4,s0.4389936525,s0.4953236706,s180.0000000000
006_0,s0.0000000000,s0.0000000000,s0.0000000000
006_1,s0.6018913960,s-0.1679967580,s-17.0000000000
006_2,s0.1607668745,s-0.2089707565,s180.0000000000
006_3,s-0.4393022436,s0.4895030239,s180.0000000000
006_4,s-0.2997749382,s-0.8113436044,s359.0000000000
006_5,s0.3607217413,s0.7965663860,s180.0000000000
007_0,s0.0000000000,s0.0000000000,s0.0000000000
007_1,s0.6147228246,s0.2596002621,s48.0000000000
007_2,s0.4755835959,s1.4657820240,s145.0000000000
007_3,s-0.4556702626,s1.4601471965,s214.8000000000
007_4,s-0.5977158852,s0.2432730000,s313.5000000000
007_5,s0.8185294272,s0.9163076546,s98.0000000000
007_6,s-0.8146037937,s0.8856115941,s264.0000000000
008_0,s0.0000000000,s0.0000000000,s0.0000000000
008_1,s0.0822045545,s-0.7808301019,s345.0000000000
008_2,s-0.4401730510,s0.4860476957,s180.0000000000
008_3,s0.4344061518,s0.4843721003,s180.0000000000
008_4,s-0.4325724612,s-1.1276326515,s271.0000000000
008_5,s0.6714735766,s-0.5013064821,s0.0000000000
008_6,s0.5668870747,s-0.8520283043,s220.0000000000
008_7,s-0.5161242551,s-0.7099943590,s329.0000000000
009_0,s0.0000000000,s0.0000000000,s0.0000000000
009_1,s-0.7980256223,s-0.8128645426,s0.0000000000
009_2,s-0.1648281692,s-0.9070181204,s357.0000000000
009_3,s0.6789992818,s0.1987956438,s0.0000000000
009_4,s-0.4371615015,s-0.0112793037,s180.0000000000
009_5,s0.2758671815,s0.8982437374,s180.0000000000
009_6,s-0.4090788290,s0.8746500897,s189.0000000000
009_7,s0.4362023475,s-0.0121741737,s180.0000000000
009_8,s-0.7594127369,s0.2101334311,s9.0000000000
010_0,s0.0000000000,s0.0000000000,s0.0000000000
010_1,s-0.7192853613,s0.2492562763,s22.0000000000
010_2,s-0.0629335434,s-0.8819769876,s344.0000000000
010_3,s0.6947682870,s0.2021155824,s356.0000000000
010_4,s-1.0360193846,s-0.7698053630,s256.0000000000
010_5,s0.3420966280,s0.9409457017,s172.0000000000
010_6,s-0.3387948569,s0.8680025196,s183.0000000000
010_7,s-0.4395304324,s-0.0102603553,s180.0000000000
010_8,s0.4338568105,s-0.0111594750,s180.0000000000
010_9,s-1.0841930488,s-0.0782406282,s225.0000000000
011_0,s0.0043811737,s0.0131435212,s0.0000000000
011_1,s0.4318678687,s-0.0191345637,s180.0000000000
011_2,s-0.8552625824,s-0.8541297513,s352.0000000000
011_3,s0.0947800876,s-0.4876121883,s128.0000000000
011_4,s0.6260187233,s1.0127099651,s81.0000000000
011_5,s-0.4321070466,s-0.0134025350,s179.0000000000
011_6,s-0.9138082235,s0.0687732592,s359.0000000000
011_7,s-0.5219004026,s0.3458106766,s326.0000000000
011_8,s-0.3385924925,s1.2310160825,s147.0000000000
011_9,s0.5460882205,s0.3865630747,s46.0000000000
